['# KSL']	['ID', 'DOCULECT', 'CONCEPT', 'GlossID', 'Orthography', 'IPA', 'Tokens', 'CogID']
83	WOT	21_hatchetaxe	28	balta	balta	b a l t a	WOT-21_hatchetaxe-1
#
84	H	22_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson	29	bálvány	baːlvaːɲ	b aː l v aː ɲ	H-22_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1
#
85	EAH	22_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson	29	balvan	balvan	b a l v a n	EAH-22_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1
86	WOT	22_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson	29	balvan	balvan	b a l v a n	WOT-22_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1
#
87	H	23_governorofcroatiagovernorofthesouthernmarches	30	bán	baːn	b aː n	H-23_governorofcroatiagovernorofthesouthernmarches-1
#
88	WOT	23_governorofcroatiagovernorofthesouthernmarches	30	bayan	bajan	b a j a n	WOT-23_governorofcroatiagovernorofthesouthernmarches-1
#
89	H	24_toregrettobesorry	31	bán	baːn	b aː n	H-24_toregrettobesorry-1
#
90	EAH	24_toregrettobesorry	31	baγin	baɣin	b a ɣ i n	EAH-24_toregrettobesorry-1
91	WOT	24_toregrettobesorry	31	bagïn	baɡɯn	b a ɡ ɯ n	WOT-24_toregrettobesorry-1
#
92	H	25_hairybushyofdogsabighairydogasnoun	32	barág	bɒraːɡ	b ɒ r aː ɡ	H-25_hairybushyofdogsabighairydogasnoun-1
#
93	EAH	25_hairybushyofdogsabighairydogasnoun	32	barag	baraɡ	b a r a ɡ	EAH-25_hairybushyofdogsabighairydogasnoun-1
#
94	H	26_labeltag	33	bárca	baːrt͡sɒ	b aː r t͡s ɒ	H-26_labeltag-1
#
95	EAH	26_labeltag	33	bāsa	baːsa	b aː s a	EAH-26_labeltag-1
#
96	H	27_cattlelivestock	34	barom	bɒrom	b ɒ r o m	H-27_cattlelivestock-1
#
97	EAH	27_cattlelivestock	34	barum	barum	b a r u m	EAH-27_cattlelivestock-1
98	WOT	27_cattlelivestock	34	barum	barum	b a r u m	WOT-27_cattlelivestock-1
#
99	H	28_velvet	35	bársony	baːrʃoɲ	b aː r ʃ o ɲ	H-28_velvet-1
#
100	OH	28_velvet	35	baršun	barʃun	b a r ʃ u n	OH-28_velvet-1
101	EAH	28_velvet	35	barčun	bart͡ʃun	b a r t͡ʃ u n	EAH-28_velvet-1
102	WOT	28_velvet	35	barčun	bart͡ʃun	b a r t͡ʃ u n	WOT-28_velvet-1
#
103	H	29_tofuck	36	basz	bɒs	b ɒ s	H-29_tofuck-1
#
104	EAH	29_tofuck	36	bas	bas	b a s	EAH-29_tofuck-1
105	WOT	29_tofuck	36	bas	bas	b a s	WOT-29_tofuck-1
#
106	H	30_courageousbravevaliant	37	bátor	baːtor	b aː t o r	H-30_courageousbravevaliant-1
#
107	EAH	30_courageousbravevaliant	37	baγatur	baɣatur	b a ɣ a t u r	EAH-30_courageousbravevaliant-1
108	WOT	30_courageousbravevaliant	37	baγatur	baɣatur	b a ɣ a t u r	WOT-30_courageousbravevaliant-1
#
109	H	31_toestimatetoesteemtoappreciate	38	bëcsül	bet͡ʃyl	b e t͡ʃ y l	H-31_toestimatetoesteemtoappreciate-1
#
110	EAH	31_toestimatetoesteemtoappreciate	38	bečel	bɛt͡ʃɛl	b ɛ t͡ʃ ɛ l	EAH-31_toestimatetoesteemtoappreciate-1
111	WOT	31_toestimatetoesteemtoappreciate	38	bičil	bit͡ʃil	b i t͡ʃ i l	WOT-31_toestimatetoesteemtoappreciate-1
#
112	H	32_frog	39	béka	beːkɒ	b eː k ɒ	H-32_frog-1
#
