ID	DOCULECT	ALIGNMENT	COGID	CV_SEGMENTS
180	H	#t͡ʃ ɒ l aː n#	114	CVCVC
181	EAH	t͡ʃ a l a.ɣ.a n	114	CVCVCVC
182	H	#t͡ʃ ɒ l i t# -#	115	CVCVC
183	EAH	t͡ʃ a l i t -	115	CVCVC
184	H	#t͡ʃ ɒ n ɒ k# -#	117	CVCVC
185	EAH	t͡ʃ a n a k -	117	CVCVC
186	H	#t͡ʃ ɒ t ɒ# -#	118	CVCV
187	EAH	t͡ʃ a t a -	118	CVCV
188	H	#t͡ʃ ɒ t# -#	121	CVC
189	EAH	t͡ʃ a t i	121	CVCV
190	H	#t͡ʃ eː t͡ʃ# -#	122	CVC
191	EAH	t͡ʃ e t͡ʃ -	122	CVC
192	H	#t͡ʃ ɛ k	124	CVCVC
193	EAH	t͡ʃ i k	124	CVC
194	H	#t͡ʃ ɛ p yː#	125	CVCV
195	EAH	t͡ʃ ø p y.ɣ	125	CVCVC
196	H	#t͡ʃ i ɡ ɒ# -#	129	CVCV
197	EAH	t͡ʃ ɯ ɡ a -	129	CVCV
198	H	#t͡ʃ i ɡ ɛ r# -#	130	CVCVC
199	EAH	t͡ʃ i ɡ i r -	130	CVCVC
200	H	#t͡ʃ i p ɒ#	132	CVCV
201	EAH	t͡ʃ a p a.ɣ	132	CVCVC
202	H	#t͡ʃ o l aː k# -#	133	CVCVC
203	EAH	t͡ʃ o l a k -	133	CVCVC
204	H	#t͡ʃ o m ɒ k# -#	134	CVCVC
205	EAH	t͡ʃ o m a k -	134	CVCVC
206	H	#t͡ʃ øː d ø r# -#	135	CVCVC
207	EAH	t͡ʃ ɛ w.d y r -	135	CVCCVC
208	H	#t͡ʃ ø k# -#	138	CVC
209	EAH	t͡ʃ y k -	138	CVC
210	H	#t͡ʃ ø k ø ɲ	141	CVCVC
211	EAH	t͡ʃ y k y n	141	CVCVC
212	H	#t͡ʃ øː s# -#	142	CVC
213	EAH	t͡ʃ ɛ.y ʃ -	142	CVVC
214	H	#t͡ʃ uː ɲ ɒ#	143	CVCV
215	EAH	t͡ʃ u n a.ɣ	143	CVCVC
216	H	#t͡ʃ yː r#	144	CVC
217	EAH	t͡ʃ ɛ.w.y r	144	CVCVC
218	H	#d ɒ k.ʃ i# -#	146	CVCCV
219	EAH	d͡ʒʲ a k.ʃ i -	146	CVCCV
220	H	#d ɒ k u# -#	147	CVCV
221	EAH	d a k u -	147	CVCV
222	H	#d ɒ r ɒ# -#	148	CVCV
223	EAH	d a r a -	148	CVCV
224	H	#d ɒ r ɒ# -#	149	CVCV
225	EAH	d a r a -	149	CVCV
226	H	#d eː l# -#	150	CVC
227	EAH	t ø l i	150	CVCV
228	H	#d eː l# -#	151	CVC
229	EAH	d ø l i	151	CVCV
230	H	#d i.oː#	152	CVV
231	EAH	d͡ʒʲ i.ɣ.a.ɣ	152	CVCVC
232	H	#d i s.n oː#	154	CVCCV
233	EAH	d͡ʒʲ i s.n a.ɣ	154	CVCCVC
234	H	#d øː l# -#	155	CVC
235	EAH	d y l -	155	CVC
236	H	#d u ɡ# -#	157	CVC
237	EAH	d ɯ ɡ -	157	CVC
238	H	#e ɟ#	159	VCCVC
239	EAH	e ɟ	159	VC
240	H	#ɛ k ɛ#	162	VCV
241	EAH	ɛ k ɛ.ɣ	162	VCVC
242	H	#ɛ n.ɡ	163	VCC
243	EAH	ɛ n.ɡ	163	VCC
244	H	#ɛ n øː#	165	VCV
245	EAH	i n ɛ.ɣ	165	VCVC
246	H	#eː r# -#	166	VC
247	EAH	ɛ r -	166	VC
248	H	#eː r.d ɛ m# -#	167	VCCVC
249	EAH	ɛ r.d ɛ m -	167	VCCVC
250	H	#ɛ r.k ø l.t͡ʃ# -#	168	VCCVCC
251	EAH	ɛ r.k ɛ l.t͡ʃ -	168	VCCVCC
252	H	#ɛ r.ɲ ɛ d# -#	169	VCCVC
253	EAH	ɛ r i n -	169	VCVC
254	H	#ɛ r øː#	170	VCV
255	EAH	ɛ r i.ɣ	170	VCVC
256	H	#ɛ ʃ# -#	171	VC
257	EAH	i t͡ʃ y	171	VCV
258	H	#ɛ ʃ.k y# -#	172	VCCV
259	EAH	i t͡ʃ.k y -	172	VCCV
260	H	#eː s# -#	173	VC
261	EAH	ɛ s -	173	VC
262	H	#ɛ t ɛ l# -#	174	VCVC
263	EAH	ɛ t i l -	174	VCVC
264	H	#ɡ ɒ z# -#	176	CVC
265	EAH	k a.ɣ z u	176	CVCCV
266	H	#ɡ ø d eː ɲ# -#	177	CVCVC
267	EAH	ɡ y d ɛ n -	177	CVCVC
268	H	#ɡ ø r eː ɲ# -#	179	CVCVC
269	EAH	ɡ y r ɛ n -	179	CVCVC
270	H	#ɡ y ɟ yː#	181	CVCV
271	EAH	k y d ɛ.ɣ.y	181	CVCVCV
272	H	#ɡ y z y#	182	CVCV
273	EAH	k y s ɛ.ɣ.y	182	CVCVCV
274	H	#ɟ ɒ l aː	183	CVCV
275	EAH	d͡ʒʲ a l a	183	CVCV
276	H	#ɟ ɒ l o m# -#	184	CVCVC
277	EAH	d͡ʒʲ a l u m -	184	CVCVC
278	H	#ɟ ɒ n uː#	185	CVCV
279	EAH	d͡ʒʲ o n a.ɣ	185	CVCVC
280	H	#ɟ ɒ p.j uː# -#	186	CVCCV
281	EAH	d͡ʒʲ a p.ɣ u -	186	CVCCV
282	H	#ɟ ɒ p o t# -#	187	CVCVC
283	EAH	d͡ʒʲ a p u t -	187	CVCVC
284	H	#ɟ ɒ r ɒ p -#	188	CVCVC
285	EAH	d͡ʒʲ a r - p a	188	CVCCV
286	H	#ɟ ɒ r.l oː#	190	CVCCV
287	EAH	d͡ʒʲ a r.l ɯ.ɣ	190	CVCCVC
288	H	#ɟ aː r.t#	191	CVCC
289	EAH	d͡ʒʲ a r.a.t	191	CVCVC
290	H	#ɟ aː s# -#	192	CVC
291	EAH	d͡ʒʲ a s -	192	CVC
292	H	#ɟ eː k eː ɲ# -#	193	CVCVC
293	EAH	d͡ʒʲ ɛ k ɛ n -	193	CVCVC
294	H	#ɟ e n.ɡ ɛ# -#	194	CVCCV
295	EAH	d͡ʒʲ ɛ n.ɡ ɛ -	194	CVCCV
296	H	#ɟ ɛ p.l øː#	195	CVCCV
297	EAH	d͡ʒʲ i p.l i.ɣ	195	CVCCVC
298	H	#ɟ ɛ p yː#	196	CVCV
299	EAH	d͡ʒʲ ɛ p i.ɣ	196	CVCVC
300	H	#ɟ ɛ p# -#	197	CVC
301	EAH	d͡ʒʲ ɛ p i	197	CVCV
302	H	#ɟ ɛ r.m ɛ k# -#	198	CVCCVC
303	EAH	d͡ʒʲ ɛ r.m ɛ k -	198	CVCCVC
304	H	#ɟ ɛ r.m ɛ k# -#	199	CVCCVC
305	EAH	d͡ʒʲ ɛ r.m ɛ k -	199	CVCCVC
306	H	#ɟ ɛ r.c ɒ# -#	200	CVCCV
307	EAH	d͡ʒʲ a r.t a -	200	CVCCV
308	H	#ɟ ɛ r.c aː n#	201	CVCCVC
309	EAH	d͡ʒʲ a r.t a.ɣ.a n	201	CVCCVCVC
310	H	#ɟ i l.k o ʃ# -#	202	CVCCVC
311	EAH	d͡ʒʲ i l.k u ʃ -	202	CVCCVC
312	H	#ɟ o m# -#	203	CVC
313	EAH	d͡ʒʲ o m -	203	CVC
314	H	#ɟ o m o r# -#	204	CVCVC
315	EAH	d͡ʒʲ u m u r -	204	CVCVC
316	H	#ɟ oː n# -#	205	CVC
317	EAH	d͡ʒʲ uː n -	205	CVC
318	H	#ɟ o p aː r# -#	207	CVCVC
319	EAH	d͡ʒʲ ɯ p a r -	207	CVCVC
320	H	#ɟ ø n.ɟ# -#	208	CVCC
321	EAH	d͡ʒʲ i n.d͡ʒʲ y	208	CVCCV
322	H	#ɟ ø t ø r# -#	209	CVCVC
323	EAH	d͡ʒʲ i t y r -	209	CVCVC
324	H	#ɟ øː z#	210	CVC
325	EAH	d͡ʒʲ ɛ.ɣ.y z	210	CVCVC
326	H	#ɟ uː l# -#	211	CVC
327	EAH	d͡ʒʲ u l -	211	CVC
