ID	COGID	DOCULECT	ALIGNMENT	PROSODY
173	91	EAH	b u ɡ a -	CVCV
174	92	H	#b u l ɒ r# -#	CVCVC
175	92	EAH	b u l a r -	CVCVC
176	93	H	#b uː s# -#	CVC
177	93	EAH	b uː s -	CVC
178	94	H	#b uː z ɒ# -#	CVCV
179	94	EAH	b u ɣ.z a.i -	CVCCVV
180	95	H	#b u z o ɡ + aːɲ#	CVCVCVC
181	95	EAH	b u z.ɡ a n	CVCCVC
182	96	H	#b y kː# -#	CVC
183	96	EAH	b i k -	CVC
184	97	H	#b yː n# -#	CVC
185	97	EAH	b yː n -	CVC
186	98	H	#b y t y# -#	CVCV
187	98	EAH	b y t y ɣ	CVCVC
188	99	H	#b yː# -#	CV
189	99	EAH	b y ɣy	CVCV
190	100	H	#t͡s i ɡ.l ɛ# -#	CVCCV
191	100	EAH	t͡ʃ i ɡ.l ɛ -	CVCCV
192	101	H	#t͡ʃ i ɡ.l ɛ# -#	CVCCV
193	101	EAH	t͡ʃ i k.l ɛ -	CVCCV
194	102	H	#t͡ʃ ɛ k.l ɛ# -#	CVCCV
195	102	EAH	t͡ʃ i k.l ɛ -	CVCCV
196	103	H	#t͡ʃ ɛ k.j ɛ# -#	CVCCV
197	103	EAH	t͡ʃ i k.l ɛ -	CVCCV
198	104	H	#t͡ʃ i k.l ɛ# -#	CVCCV
199	104	EAH	t͡ʃ i k.l ɛ -	CVCCV
200	105	H	#t͡ʃ i ɡ o + jɒ#	CVCVCV
201	105	EAH	t͡ʃ i ɡ.l a	CVCCV
202	106	H	#t͡ʃ i ɡ.l ɒ# -#	CVCCV
203	106	EAH	t͡ʃ i ɡ.l a -	CVCCV
204	107	H	#t͡s ø t.k eː ɲ# -#	CVCCVC
205	107	EAH	s y t.k ɛ n -	CVCCVC
206	108	H	#t͡s ø t.k eː ɲ# -#	CVCCVC
207	108	EAH	s y tː ɛ ɡ ɛn	CVCVCVC
208	109	H	#t͡ʃ ɒ b ɒ k# -#	CVCVC
209	109	EAH	t͡ʃ a b a k -	CVCVC
210	110	H	#t͡ʃ ɒ k# -#	CVC
211	110	EAH	t͡ʃ a k -	CVC
212	111	H	#t͡ʃ aː k aː ɲ# -#	CVCVC
213	111	EAH	t͡ʃ a k a n -	CVCVC
214	112	H	#t͡ʃ ɒ l aː n# -#	CVCVC
215	112	EAH	t͡ʃ a l aː n -	CVCVC
216	113	H	#t͡ʃ ɒ l aː n# -#	CVCVC
217	113	EAH	t͡ʃ i l aː n -	CVCVC
218	114	H	#t͡ʃ ɒ l aː n# -#	CVCVC
219	114	EAH	t͡ʃ a l a ɣ an	CVCVCVC
220	115	H	#t͡ʃ ɒ l i t# -#	CVCVC
221	115	EAH	t͡ʃ a l i t -	CVCVC
222	116	H	#t͡ʃ ɒ l i t# -#	CVCVC
223	116	EAH	t͡ʃ a l i t -	CVCVC
224	117	H	#t͡ʃ ɒ n ɒ k# -#	CVCVC
225	117	EAH	t͡ʃ a n a k -	CVCVC
226	118	H	#t͡ʃ ɒ t ɒ# -#	CVCV
227	118	EAH	t͡ʃ a t a -	CVCV
228	119	H	#t͡ʃ ɒ t ɒ# -#	CVCV
229	119	EAH	t͡ʃ a t a -	CVCV
230	120	H	#t͡ʃ ɒ t# -#	CVC
231	120	EAH	t͡ʃ a t -	CVC
232	121	H	#t͡ʃ ɒ t# -#	CVC
233	121	EAH	t͡ʃ a t i	CVCV
234	122	H	#t͡ʃ eː t͡ʃ# -#	CVC
235	122	EAH	t͡ʃ e t͡ʃ -	CVC
236	123	H	#t͡ʃ eː t͡ʃ# -#	CVC
237	123	EAH	t͡ʃ e t͡ʃ ɛk	CVCVC
238	124	H	#t͡ʃ ɛ k + eːl#	CVCVC
239	124	EAH	t͡ʃ i k	CVC
240	125	H	#t͡ʃ ɛ p yː# -#	CVCV
241	125	EAH	t͡ʃ ø p y ɣ	CVCVC
242	126	H	#t͡ʃ ɛ p yː# -#	CVCV
243	126	EAH	t͡ʃ ø p y ɣ	CVCVC
244	127	H	#t͡ʃ ɛ p yː# -#	CVCV
245	127	EAH	t͡ʃ ø p y ɣ	CVCVC
246	128	H	#t͡ʃ ɛ p yː# -#	CVCV
247	128	EAH	t͡ʃ ø p y ɣ	CVCVC
248	129	H	#t͡ʃ i ɡ ɒ# -#	CVCV
249	129	EAH	t͡ʃ ɯ ɡ a -	CVCV
250	130	H	#t͡ʃ i ɡ ɛ r# -#	CVCVC
251	130	EAH	t͡ʃ i ɡ i r -	CVCVC
252	131	H	#t͡ʃ i ɡ ɛ r# -#	CVCVC
253	131	EAH	t͡ʃ i ɡ i r -	CVCVC
254	132	H	#t͡ʃ i p ɒ# -#	CVCV
255	132	EAH	t͡ʃ a p a ɣ	CVCVC
256	133	H	#t͡ʃ o l aː k# -#	CVCVC
257	133	EAH	t͡ʃ o l a k -	CVCVC
258	134	H	#t͡ʃ o m ɒ k# -#	CVCVC
259	134	EAH	t͡ʃ o m a k -	CVCVC
260	135	H	#t͡ʃ øː d ø r# -#	CVCVC
261	135	EAH	t͡ʃ ɛ w.d y r -	CVCCVC
262	136	H	#t͡ʃ øː d ø r# -#	CVCVC
263	136	EAH	t͡ʃ ɛ w.d y r -	CVCCVC
264	137	H	#t͡ʃ øː d ø r# -#	CVCVC
265	137	EAH	t͡ʃ ɛ w.d y r -	CVCCVC
266	138	H	#t͡ʃ ø k# -#	CVC
267	138	EAH	t͡ʃ y k -	CVC
268	139	H	#t͡ʃ ø k# -#	CVC
269	139	EAH	t͡ʃ y k -	CVC
270	140	H	#t͡ʃ ø k + ik#	CVCVC
271	140	EAH	t͡ʃ y k	CVC
272	141	H	#t͡ʃ ø k ø ɲ# -#	CVCVC
273	141	EAH	t͡ʃ y k y n -	CVCVC
274	142	H	#t͡ʃ øː s# -#	CVC
275	142	EAH	t͡ʃ ɛ.y ʃ -	CVVC
276	143	H	#t͡ʃ uː ɲ ɒ# -#	CVCV
277	143	EAH	t͡ʃ u n a ɣ	CVCVC
278	144	H	#t͡ʃ yː r# -#	CVC
279	144	EAH	t͡ʃ ɛ v yr	CVCVC
280	145	H	#t͡ʃ yː r# -#	CVC
281	145	EAH	t͡ʃ ɛ v iri	CVCVCV
282	146	H	#d ɒ k.ʃ i# -#	CVCCV
283	146	EAH	d͡ʒʲ a k.ʃ i -	CVCCV
284	147	H	#d ɒ k u# -#	CVCV
285	147	EAH	d a k u -	CVCV
286	148	H	#d ɒ r ɒ# -#	CVCV
287	148	EAH	d a r a -	CVCV
288	149	H	#d ɒ r ɒ# -#	CVCV
289	149	EAH	d a r a -	CVCV
290	150	H	#d eː l# -#	CVC
291	150	EAH	t ø l i	CVCV
292	151	H	#d eː l# -#	CVC
293	151	EAH	d ø l i	CVCV
294	152	H	#d i.oː# -#	CVV
295	152	EAH	d͡ʒʲ i ɣaɣ	CVCVC
296	153	H	#d i.oː# -#	CVV
297	153	EAH	d͡ʒʲ i ɣaɣ	CVCVC
298	154	H	#d i s.n oː# -#	CVCCV
299	154	EAH	d͡ʒʲ i s.n a ɣ	CVCCVC
300	155	H	#d øː l# -#	CVC
301	155	EAH	d y l -	CVC
302	156	H	#d øː l# -#	CVC
303	156	EAH	d y l -	CVC
304	157	H	#d u ɡ# -#	CVC
305	157	EAH	d ɯ ɡ -	CVC
306	158	H	#d u ɡ# -#	CVC
307	158	EAH	d ɯ ɡ -	CVC
308	159	H	#e ɟ.h + aːz#	VCCVC
309	159	EAH	e ɟ	VC
310	160	H	#e ɟ.h + aːz#	VCCVC
311	160	EAH	e ɟ	VC
312	162	H	#ɛ k ɛ# -#	VCV
313	162	EAH	ɛ k ɛ ɣ	VCVC
314	163	H	#ɛ n.ɡ# -#	VCC
315	163	EAH	ɛ n.ɡ -	VCC
316	164	H	#ɛ n.ɡ# -#	VCC
317	164	EAH	ɛ n.ɡ -	VCC
318	165	H	#ɛ n øː# -#	VCV
319	165	EAH	i n ɛ ɣ	VCVC
320	166	H	#eː r# -#	VC
321	166	EAH	ɛ r -	VC
322	167	H	#eː r.d ɛ m# -#	VCCVC
323	167	EAH	ɛ r.d ɛ m -	VCCVC
324	168	H	#ɛ r.k ø l.t͡ʃ# -#	VCCVCC
325	168	EAH	ɛ r.k ɛ l.t͡ʃ -	VCCVCC
326	169	H	#ɛ r.ɲ ɛ d# -#	VCCVC
327	169	EAH	ɛ r i n -	VCVC
328	170	H	#ɛ r øː# -#	VCV
329	170	EAH	ɛ r i ɣ	VCVC
330	171	H	#ɛ ʃ# -#	VC
331	171	EAH	i t͡ʃ y	VCV
332	172	H	#ɛ ʃ.k y# -#	VCCV
333	172	EAH	i t͡ʃ.k y -	VCCV
334	173	H	#eː s# -#	VC
335	173	EAH	ɛ s -	VC
336	174	H	#ɛ t ɛ l# -#	VCVC
337	174	EAH	ɛ t i l -	VCVC
338	175	H	#ɛ t i l# -#	VCVC
339	175	EAH	ɛ t i l -	VCVC
340	176	H	#ɡ ɒ z# -#	CVC
341	176	EAH	k a ɣ.z u	CVCCV
342	177	H	#ɡ ø d eː ɲ# -#	CVCVC
343	177	EAH	ɡ y d ɛ n -	CVCVC
344	178	H	#ɡ ø d eː ɲ# -#	CVCVC
345	178	EAH	ɡ y d ɛ n -	CVCVC
346	179	H	#ɡ ø r eː ɲ# -#	CVCVC
347	179	EAH	ɡ y r ɛ n -	CVCVC
348	180	H	#ɡ ø r eː ɲ# -#	CVCVC
349	180	EAH	ɡ y r ɛ n -	CVCVC
350	181	H	#ɡ y ɟ yː# -#	CVCV
351	181	EAH	k y d ɛ ɣy	CVCVCV
352	182	H	#ɡ y z y# -#	CVCV
353	182	EAH	k y s ɛ ɣy	CVCVCV
354	183	H	#ɟ ɒ l aː# -#	CVCV
355	183	EAH	d͡ʒʲ a l a -	CVCV
356	184	H	#ɟ ɒ l o m# -#	CVCVC
357	184	EAH	d͡ʒʲ a l u m -	CVCVC
358	185	H	#ɟ ɒ n uː# -#	CVCV
359	185	EAH	d͡ʒʲ o n a ɣ	CVCVC
360	186	H	#ɟ ɒ p.j uː# -#	CVCCV
