"Rona-Tas-2011-500-1"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"Rona-Tas-2011-500-139"	138	"sexual organ of large male animals, of a bull; a whip made from it"	1222	"PENIS"
"Rona-Tas-2011-500-140"	139	"feast, christening feast (at baptism)"	3990	"BANQUET"
"Rona-Tas-2011-500-141"	140	"to become smaller, remain small, to sway, to totter, tosprain"	573	"SWAY"
"Rona-Tas-2011-500-142"	141	"stubborn"	3634	"STUBBORN"
"Rona-Tas-2011-500-143"	142	"field-guard; herald; Turkish envoy"	3991	"COURIER"
"Rona-Tas-2011-500-144"	143	"rough, coarse; ugly; wild, unbridled"	1548	"UGLY"
"Rona-Tas-2011-500-145"	144	"to wind, to turn, to distrort, misinterpret, to spin a yarn"	1588	"TURN"
"Rona-Tas-2011-500-146"	145	"bobbin, spindle"	277	"SPINDLE"
"Rona-Tas-2011-500-147"	146	"excellent; worthless"	1035	"GOOD"
"Rona-Tas-2011-500-148"	147	"a short fur coat"	603	"COAT"
"Rona-Tas-2011-500-149"	148	"grist, groats, soft hail"	3992	"GRIST"
"Rona-Tas-2011-500-150"	149	"grist, groats, soft hail"	3992	"GRIST"
"Rona-Tas-2011-500-151"	150	"noon, south"	12	"MIDDAY"
"Rona-Tas-2011-500-152"	151	"noon, south"	12	"MIDDAY"
"Rona-Tas-2011-500-153"	152	"nut; walnut, Juglans"	2042	"WALNUT"
"Rona-Tas-2011-500-154"	153	"nut; walnut, Juglans"	2042	"WALNUT"
"Rona-Tas-2011-500-155"	154	"pig, Sus domestica"	1337	"PIG"
"Rona-Tas-2011-500-156"	155	"to lean, topple over, stream down"	3619	"LEAN"
"Rona-Tas-2011-500-157"	156	"to lean, topple over, stream down"	3619	"LEAN"
"Rona-Tas-2011-500-158"	157	"to squeeze, to thrust into"	1414	"SQUEEZE"
"Rona-Tas-2011-500-159"	158	"to squeeze, to thrust into"	1414	"SQUEEZE"
"Rona-Tas-2011-500-160"	159	"church (building and organisation)"	1349	"CHURCH"
"Rona-Tas-2011-500-161"	160	"church (building and organisation)"	1349	"CHURCH"
"Rona-Tas-2011-500-162"	161	"wedge"	3993	"WEDGE"
"Rona-Tas-2011-500-163"	162	"plough"	2154	"PLOUGH (INSTRUMENT)"
"Rona-Tas-2011-500-164"	163	"to allow, permit, concede; yield, give way"	3238	"ALLOW"
"Rona-Tas-2011-500-165"	164	"to propitiate"	3994	"ATONE"
"Rona-Tas-2011-500-166"	165	"community work in agriculture, a kind of corvée"	984	"WORK"
"Rona-Tas-2011-500-167"	166	"to arrive, to reach, get to"	1387	"ARRIVE"
"Rona-Tas-2011-500-168"	167	"merit"	3995	"MERIT"
"Rona-Tas-2011-500-169"	168	"morals, morality"	3996	"MORALITY"
"Rona-Tas-2011-500-170"	169	"to tire, lose vitality, slacken, relax"	168	"REST"
"Rona-Tas-2011-500-171"	170	"strength, power"	2526	"POWER"
"Rona-Tas-2011-500-172"	171	"oath"	1712	"OATH"
"Rona-Tas-2011-500-173"	172	"oath"	1712	"OATH"
"Rona-Tas-2011-500-174"	173	"reason, mind"	1562	"MIND"
"Rona-Tas-2011-500-175"	174	"river, name of a river"	666	"RIVER"
"Rona-Tas-2011-500-176"	175	"river, name of a river"	666	"RIVER"
"Rona-Tas-2011-500-177"	176	"weed"	3288	"WEED"
"Rona-Tas-2011-500-178"	177	"pelican, Pelicanus"	472	"PELICAN"
"Rona-Tas-2011-500-179"	178	"pelican, Pelicanus"	472	"PELICAN"
"Rona-Tas-2011-500-180"	179	"polecat, Putorius foetidus"	3997	"POLECAT"
"Rona-Tas-2011-500-181"	180	"polecat, Putorius foetidus"	3997	"POLECAT"
"Rona-Tas-2011-500-182"	181	"matchmaker"	3998	"MATCHMAKER"
"Rona-Tas-2011-500-183"	182	"gleaner mouse, Mus spicilegus"	3999	"STEPPE MOUSE"
"Rona-Tas-2011-500-184"	183	"to abuse, calumniate"	1953	"ABUSE"
"Rona-Tas-2011-500-185"	184	"drag-net, a kind of fishing net"	2653	"NET (FOR CATCHING)"
"Rona-Tas-2011-500-186"	185	"suspicion, mistrust"	3197	"SUSPICION"
"Rona-Tas-2011-500-187"	186	"wool"	964	"WOOL"
"Rona-Tas-2011-500-188"	187	"cotton"	1850	"COTTON"
"Rona-Tas-2011-500-189"	188	"to increase, to put on weight, to grow stronger"	1041	"INCREASE"
"Rona-Tas-2011-500-190"	189	"to increase, to put on weight, to grow stronger"	1041	"INCREASE"
"Rona-Tas-2011-500-191"	190	"poor, frail, feeble"	1674	"POOR"
"Rona-Tas-2011-500-192"	191	"to produce, build, fabricate"	2886	"PRODUCE"
"Rona-Tas-2011-500-193"	192	"mourning, bereavement"	3673	"MOURNING"
"Rona-Tas-2011-500-194"	193	"bulrush, Typha latifolia / angustifolia; matting made of bulrushes"	4000	"BULRUSH"
"Rona-Tas-2011-500-195"	194	"weak, feeble"	1601	"WEAK"
"Rona-Tas-2011-500-196"	195	"rein"	4001	"REIN"
"Rona-Tas-2011-500-197"	196	"borderland, hedge"	4002	"BORDERLAND"
"Rona-Tas-2011-500-198"	197	"lawn,grass-(plot)"	606	"GRASS"
"Rona-Tas-2011-500-199"	198	"child"	2099	"CHILD"
"Rona-Tas-2011-500-200"	199	"child"	2099	"CHILD"
"Rona-Tas-2011-500-201"	200	"candle"	1273	"CANDLE"
"Rona-Tas-2011-500-202"	201	"hornbeam, Carpinus betulus"	4003	"HORNBEAM"
"Rona-Tas-2011-500-203"	202	"murder, killer"	845	"MURDER"
"Rona-Tas-2011-500-204"	203	"weed"	3288	"WEED"
"Rona-Tas-2011-500-205"	204	"stomach"	819	"STOMACH"
"Rona-Tas-2011-500-206"	205	"to confess (sins)"	4004	"CONFESS"
"Rona-Tas-2011-500-207"	206	"to confess (sins)"	4004	"CONFESS"
"Rona-Tas-2011-500-208"	207	"cudweed, Gnaphalium; Edelweiss"	4005	"CUDWEED"
"Rona-Tas-2011-500-209"	208	"pearl"	3325	"PEARL"
"Rona-Tas-2011-500-210"	209	"to torture, to make suffer"	1952	"TORTURE"
"Rona-Tas-2011-500-211"	210	"to conquer (somebody, something), triumph (over somebody, something), gain victory"	3849	"TRIUMPH"
"Rona-Tas-2011-500-212"	211	"to catch fire, be kindled, to be ignited"	737	"LIGHT (IGNITE)"
"Rona-Tas-2011-500-213"	212	"to knead, pug"	274	"KNEAD"
"Rona-Tas-2011-500-214"	213	"to assemble, gather"	7	"GATHER"
"Rona-Tas-2011-500-215"	214	"to collect,gather something"	7	"GATHER"
"Rona-Tas-2011-500-216"	215	"to hate"	1607	"HATE"
"Rona-Tas-2011-500-217"	216	"fruit"	1507	"FRUIT"
"Rona-Tas-2011-500-218"	217	"hawthorn, a plant similar to the whitethorn, or elder"	1168	"HAWTHORN"
"Rona-Tas-2011-500-219"	218	"a kind of tree similar to the maple or cornel, Acer tataricum, Cornussanguinea"	4012	"ACER TATRICUM"
"Rona-Tas-2011-500-220"	219	"ring"	1374	"RING"
"Rona-Tas-2011-500-221"	220	"thimble"	4006	"THIMBLE"
"Rona-Tas-2011-500-222"	221	"boat, ship"	1844	"BOAT"
