"ID"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"Rona-Tas-2011-500-110"	110	"to squeeze, to thrust into"	1414	"SQUEEZE"
"Rona-Tas-2011-500-111"	111	"church (building and organisation)"	1349	"CHURCH"
"Rona-Tas-2011-500-112"	112	"church (building and organisation)"	1349	"CHURCH"
"Rona-Tas-2011-500-113"	113	"plough"	2154	"PLOUGH (INSTRUMENT)"
"Rona-Tas-2011-500-114"	114	"to allow, permit, concede; yield, give way"	3238	"ALLOW"
"Rona-Tas-2011-500-115"	115	"to arrive, to reach, get to"	1387	"ARRIVE"
"Rona-Tas-2011-500-116"	116	"to tire, lose vitality, slacken, relax"	168	"REST"
"Rona-Tas-2011-500-117"	117	"strength, power"	2526	"POWER"
"Rona-Tas-2011-500-118"	118	"oath"	1712	"OATH"
"Rona-Tas-2011-500-119"	119	"oath"	1712	"OATH"
"Rona-Tas-2011-500-120"	120	"reason, mind"	1562	"MIND"
"Rona-Tas-2011-500-121"	121	"river, name of a river"	666	"RIVER"
"Rona-Tas-2011-500-122"	122	"river, name of a river"	666	"RIVER"
"Rona-Tas-2011-500-123"	123	"weed"	3288	"WEED"
"Rona-Tas-2011-500-124"	124	"pelican, Pelicanus"	472	"PELICAN"
"Rona-Tas-2011-500-125"	125	"pelican, Pelicanus"	472	"PELICAN"
"Rona-Tas-2011-500-126"	126	"to abuse, calumniate"	1953	"ABUSE"
"Rona-Tas-2011-500-127"	127	"suspicion, mistrust"	3197	"SUSPICION"
"Rona-Tas-2011-500-128"	128	"wool"	964	"WOOL"
"Rona-Tas-2011-500-129"	129	"cotton"	1850	"COTTON"
"Rona-Tas-2011-500-130"	130	"to increase, to put on weight, to grow stronger"	1041	"INCREASE"
"Rona-Tas-2011-500-131"	131	"to increase, to put on weight, to grow stronger"	1041	"INCREASE"
"Rona-Tas-2011-500-132"	132	"poor, frail, feeble"	1674	"POOR"
"Rona-Tas-2011-500-133"	133	"to produce, build, fabricate"	2886	"PRODUCE"
"Rona-Tas-2011-500-134"	134	"mourning, bereavement"	3673	"MOURNING"
"Rona-Tas-2011-500-135"	135	"weak, feeble"	1601	"WEAK"
"Rona-Tas-2011-500-136"	136	"lawn,grass-(plot)"	606	"GRASS"
"Rona-Tas-2011-500-137"	137	"child"	2099	"CHILD"
"Rona-Tas-2011-500-138"	138	"child"	2099	"CHILD"
"Rona-Tas-2011-500-139"	139	"candle"	1273	"CANDLE"
"Rona-Tas-2011-500-140"	140	"murder, killer"	845	"MURDER"
"Rona-Tas-2011-500-141"	141	"weed"	3288	"WEED"
"Rona-Tas-2011-500-142"	142	"stomach"	819	"STOMACH"
"Rona-Tas-2011-500-143"	143	"pearl"	3325	"PEARL"
"Rona-Tas-2011-500-144"	144	"to torture, to make suffer"	1952	"TORTURE"
"Rona-Tas-2011-500-145"	145	"to conquer (somebody, something), triumph (over somebody, something), gain victory"	3849	"TRIUMPH"
"Rona-Tas-2011-500-146"	146	"to knead, pug"	274	"KNEAD"
"Rona-Tas-2011-500-147"	147	"to assemble, gather"	7	"GATHER"
"Rona-Tas-2011-500-148"	148	"to hate"	1607	"HATE"
"Rona-Tas-2011-500-149"	149	"fruit"	1507	"FRUIT"
"Rona-Tas-2011-500-150"	150	"hawthorn, a plant similar to the whitethorn, or elder"	1168	"HAWTHORN"
"Rona-Tas-2011-500-151"	151	"ring"	1374	"RING"
