ID,Name,Concepticon_ID,Concepticon_Gloss
196_nameofanethnicgroupofiranianorigininhungary,name of an ethnic group of Iranian origin in Hungary,,
197_dolessdolittle,"do-less, do-little",,
198_bulrushclubrushdifferentplantslikeschoenoplectuscyperace,"bulrush, club-rush, different plants like Schoenoplectus (Cyperaceæ)",,
199_guidepilotconductorticketinspector,"guide, pilot; conductor, ticket inspector",43,LEAD (GUIDE)
200_anethnicgroupofmuslimfaithinmediaevalhungary,an ethnic group of Muslim faith in Mediaeval Hungary,,
201_awaterplantstratiotesaloides,"a water plant, Stratiotes aloides",,
202_whiplash,"whip, lash",2630,WHIP
203_saddlestrap,saddle strap,,
204_bridlereins,"bridle, reins",,
205_measles,measles,3389,MEASLES
206_trapsnare,"trap, snare",1075,TRAP (PITFALL)
207_gate,gate,2940,GATE
208_arm,arm,1673,ARM
209_damageloss,"damage, loss",2947,DAMAGE (INJURY)
210_manofgritstoutfellow,"man of grit, stout fellow",,
211_sheepfoldcattlegridstockyardayardencircledbyafenceshedforanimals,"sheepfold, cattlegrid, stockyard, a yard encircled by a fence, shed for animals",,
212_pinkseveralkindsofpinkdanthusdcaryophyllusseveralmembersofthecaryophillace,"pink, several kinds of pink, Danthus, D. caryophyllus, several members of the Caryophillaceæ",,
213_stakepalestick,"stake, pale, stick",1295,STICK
214_afishingwaterbirdwithblackfeatherscormorantphalacrocoraxcarbo,"a fishing water bird with black feathers, cormorant,Phalacrocorax carbo",840,CORMORANT
215_sparrowhawkaccipiternnisus,"sparrow hawk, Accipiter n. nisus",,
216_chicorycichoriumspcichoriumintybus,"chicory, Cichorium sp., Cichorium intybus",,
217_anethnicnamekazar,"an ethnic name, Kazar",,
218_bosombreast,"bosom, breast",1402,BREAST
219_goatcaprahircus,"goat, Capra hircus",1502,GOAT
220_blue,blue,837,BLUE
221_trousseaudowrygiftgivenwiththebrideorbridegroom,"trousseau, dowry, gift given with the bride or bridegroom",3168,DOWRY
222_hempcannabis,"hemp, Cannabis",2041,HEMP
223_mercury,mercury,,
224_pictureshapeform,"picture, shape, form",2401,PICTURE
225_shockshooksheavesplacedcrosswisealsoaunitofgrainpaidorgiven,"shock, shook, sheaves placed crosswise, also a unit of grain paid orgiven",,
226_akindofship,a kind of ship,,
227_toruminateofbovines,to ruminate (of bovines),3680,RUMINATE
228_cud,cud,,
