ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CV_Segments,ProsodicStructure,FB_Vowel_Harmony,Year
EAH-10_smalltiny-1,,EAH,10_smalltiny,opuruγ,opuruγ,o p u r u ɣ,,wot,16,true,^ opuruγ $,EAH,o p u r u ɣ,VCVCVC,True,1145
WOT-10_smalltiny-1,,WOT,10_smalltiny,opuruγ,opuruγ,o p u r u ɣ,,wot,16,false,^ opuruγ $,WOT,o p u r u ɣ,VCVCVC,True,1145
H-11_tomow-1,,H,11_tomow,arat,arat,ɒ r ɒ t,,wot,17,true,^ arat $,H,ɒ r ɒ t,VCVC,True,1211
EAH-11_tomow-1,,EAH,11_tomow,orat,orat,o r a t,,wot,17,true,^ orat $,EAH,o r a t,VCVC,True,1211
WOT-11_tomow-1,,WOT,11_tomow,orat,orat,o r a t,,wot,17,true,^ orat $,WOT,o r a t,VCVC,True,1211
H-11_tomow-2,,H,11_tomow,arat,arat,ɒ r ɒ t,,wot,18,true,^ arat $,H,ɒ r ɒ t,VCVC,True,1211
EAH-11_tomow-2,,EAH,11_tomow,orat,orat,o r a t,,wot,18,true,^ orat $,EAH,o r a t,VCVC,True,1211
WOT-11_tomow-2,,WOT,11_tomow,or,or,o r,,wot,18,true,^ or $,WOT,o r,VC,True,1211
H-12_todecayputrefygobadoffoodwater-1,,H,12_todecayputrefygobadoffoodwater,árik,árik,aː r i k,,wot,19,true,^ árik $,H,aː r i k,VCVC,True,1878
EAH-12_todecayputrefygobadoffoodwater-1,,EAH,12_todecayputrefygobadoffoodwater,ār,ār,aː r,,wot,19,true,^ ār $,EAH,aː r,VC,True,1878
WOT-12_todecayputrefygobadoffoodwater-1,,WOT,12_todecayputrefygobadoffoodwater,ar,ar,a r,,wot,19,false,^ ar $,WOT,a r,VC,True,1878
H-13_toharm-1,,H,13_toharm,árt,árt,aː r t,,wot,20,true,^ árt $,H,aː r.t,VCC,True,1315
EAH-13_toharm-1,,EAH,13_toharm,ārtat,ārtat,aː r t a t,,wot,20,true,^ ārtat $,EAH,aː r.t a t,VCCVC,True,1315
WOT-13_toharm-1,,WOT,13_toharm,artat,artat,a r t a t,,wot,20,false,^ artat $,WOT,a r.t a t,VCCVC,True,1315
H-14_atypeoflasso-1,,H,14_atypeoflasso,árkány,árkány,aː r k aː ɲ,,wot,21,true,^ árkány $,H,aː r.k aː ɲ,VCCVC,True,1789
EAH-14_atypeoflasso-1,,EAH,14_atypeoflasso,arkan,arkan,a r k a n,,wot,21,true,^ arkan $,EAH,a r.k a n,VCCVC,True,1789
H-15_ditchcanal-1,,H,15_ditchcanal,árok,árok,aː r o k,,wot,22,true,^ árok $,H,aː r o k,VCVC,True,1009
EAH-15_ditchcanal-1,,EAH,15_ditchcanal,āruk,āruk,aː r u k,,wot,22,true,^ āruk $,EAH,aː r u k,VCVC,True,1009
WOT-15_ditchcanal-1,,WOT,15_ditchcanal,aruk,aruk,a r u k,,wot,22,true,^ aruk $,WOT,a r u k,VCVC,True,1009
H-16_barleyhordeum-1,,H,16_barleyhordeum,árpa,árpa,aː r p ɒ,,wot,23,true,^ árpa $,H,aː r.p ɒ,VCCV,True,950
EAH-16_barleyhordeum-1,,EAH,16_barleyhordeum,arpa,arpa,a r p a,,wot,23,true,^ arpa $,EAH,a r.p a,VCCV,True,950
WOT-16_barleyhordeum-1,,WOT,16_barleyhordeum,arpa,arpa,a r p a,,wot,23,false,^ arpa $,WOT,a r.p a,VCCV,True,950
H-17_barrow-1,,H,17_barrow,ártány,ártány,aː r t aː ɲ,,wot,24,true,^ ártány $,H,aː r.t aː ɲ,VCCVC,True,1075
EAH-17_barrow-1,,EAH,17_barrow,aritan,aritan,a r i t a n,,wot,24,true,^ aritan $,EAH,a r i t a n,VCVCVC,True,1075
WOT-17_barrow-1,,WOT,17_barrow,arïtan,arïtan,a r ɯ t a n,,wot,24,true,^ arïtan $,WOT,a r ɯ t a n,VCVCVC,True,1075
H-18_gauntrygantryforsupportingbarrels-1,,H,18_gauntrygantryforsupportingbarrels,ászok,ászok,aː s o k,,wot,25,true,^ ászok $,H,aː s o k,VCVC,True,1480
OH-18_gauntrygantryforsupportingbarrels-1,,OH,18_gauntrygantryforsupportingbarrels,ask,ask,a s k,,wot,25,true,^ ask $,OH,a s.k,VCC,True,1480
EAH-18_gauntrygantryforsupportingbarrels-1,,EAH,18_gauntrygantryforsupportingbarrels,aski,aski,a s k i,,wot,25,true,^ aski $,EAH,a s.k i,VCCV,True,1480
WOT-18_gauntrygantryforsupportingbarrels-1,,WOT,18_gauntrygantryforsupportingbarrels,askï,askï,a s k ɯ,,wot,25,false,^ askï $,WOT,a s.k ɯ,VCCV,True,1480
H-19_charm-1,,H,19_charm,báj,báj,b aː j,"The entry 'bűbáj' on p. 190 is omitted from the dataset because compounding ('bű+báj') happened only in Hungarian. Therefore, there is no counterpart to be aligned with in West Old Turkic. For the etymology of 'bű' one is supposed to look up 'bűvös' or 'bölcs'. The former seems to be lacking from the dictionary, and the latter doesn't explain the etymology of 'bű'.",wot,26,true,^ báj $,H,b aː j,CVC,True,1395
EAH-19_charm-1,,EAH,19_charm,bay,bay,b a j,"The entry 'bűbáj' on p. 190 is omitted from the dataset because compounding ('bű+báj') happened only in Hungarian. Therefore, there is no counterpart to be aligned with in West Old Turkic. For the etymology of 'bű' one is supposed to look up 'bűvös' or 'bölcs'. The former seems to be lacking from the dictionary, and the latter doesn't explain the etymology of 'bű'.",wot,26,true,^ bay $,EAH,b a j,CVC,True,1395
WOT-19_charm-1,,WOT,19_charm,bay,bay,b a j,"The entry 'bűbáj' on p. 190 is omitted from the dataset because compounding ('bű+báj') happened only in Hungarian. Therefore, there is no counterpart to be aligned with in West Old Turkic. For the etymology of 'bű' one is supposed to look up 'bűvös' or 'bölcs'. The former seems to be lacking from the dictionary, and the latter doesn't explain the etymology of 'bű'.",wot,26,true,^ bay $,WOT,b a j,CVC,True,1395
H-20_soggyplacemoorswampmarsh-1,,H,20_soggyplacemoorswampmarsh,balkány,balkány,b ɒ l k aː ɲ,,wot,27,true,^ balkány $,H,b ɒ l.k aː ɲ,CVCCVC,True,1181
EAH-20_soggyplacemoorswampmarsh-1,,EAH,20_soggyplacemoorswampmarsh,balkan,balkan,b a l k a n,,wot,27,true,^ balkan $,EAH,b a l.k a n,CVCCVC,True,1181
WOT-20_soggyplacemoorswampmarsh-1,,WOT,20_soggyplacemoorswampmarsh,balkan,balkan,b a l k a n,,wot,27,true,^ balkan $,WOT,b a l.k a n,CVCCVC,True,1181
H-21_hatchetaxe-1,,H,21_hatchetaxe,balta,balta,b ɒ l t ɒ,,wot,28,true,^ balta $,H,b ɒ l.t ɒ,CVCCV,True,1423
EAH-21_hatchetaxe-1,,EAH,21_hatchetaxe,balta,balta,b a l t a,,wot,28,true,^ balta $,EAH,b a l.t a,CVCCV,True,1423
WOT-21_hatchetaxe-1,,WOT,21_hatchetaxe,balta,balta,b a l t a,,wot,28,true,^ balta $,WOT,b a l.t a,CVCCV,True,1423
H-22_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson-1,,H,22_paganidolstoneorwoodenpillarverticalbeamofdifferentwoodeninstrumentsstrongcorpulentperson,bálvány,bálvány,b aː l v aː ɲ,,wot,29,true,^ bálvány $,H,b aː l.v aː ɲ,CVCCVC,True,1001
